County,State,State Abbrv,Median Home Price Q3 2022
Emporia city,Virginia,VA,121470
Trego County,Kansas,KS,121440
Moultrie County,Illinois,IL,121420
Uvalde County,Texas,TX,121250
Reno County,Kansas,KS,121210
Glascock County,Georgia,GA,121210
Cumberland County,Illinois,IL,121200
Powell County,Kentucky,KY,121150
Russell County,Kansas,KS,120870
Warren County,Pennsylvania,PA,120790
Tishomingo County,Mississippi,MS,120700
Lauderdale County,Tennessee,TN,120620
Lamar County,Alabama,AL,120580
Hot Spring County,Arkansas,AR,120570
Brooks County,Georgia,GA,120550
Jack County,Texas,TX,120530
Pawnee County,Oklahoma,OK,120500
Jackson County,Oklahoma,OK,120490
Childress County,Texas,TX,120410
Warren County,North Carolina,NC,120400
Frio County,Texas,TX,120290
Baker County,Georgia,GA,120250
Roane County,West Virginia,WV,120200
Red River County,Texas,TX,120170
Osceola County,Iowa,IA,120160
Bibb County,Alabama,AL,120050
Kidder County,North Dakota,ND,120010
Screven County,Georgia,GA,120000
Talbot County,Georgia,GA,120000
Shelby County,Illinois,IL,119960
Pike County,Missouri,MO,119910
Hyde County,South Dakota,SD,119850
Sac County,Iowa,IA,119810
Sequoyah County,Oklahoma,OK,119800
Guadalupe County,New Mexico,NM,119800
Winnebago County,Iowa,IA,119700
Searcy County,Arkansas,AR,119630
Hardeman County,Tennessee,TN,119620
Clark County,Missouri,MO,119560
Richland Parish,Louisiana,LA,119560
Barbour County,West Virginia,WV,119520
Spink County,South Dakota,SD,119490
Mora County,New Mexico,NM,119350
Brown County,Illinois,IL,119290
LaMoure County,North Dakota,ND,119230
Liberty County,Montana,MT,119220
Oregon County,Missouri,MO,119210
Parke County,Indiana,IN,119120
Washington County,Georgia,GA,119030
Perkins County,South Dakota,SD,118560
Atoka County,Oklahoma,OK,118550
Sherman County,Nebraska,NE,118470
Iosco County,Michigan,MI,118400
Lee County,Iowa,IA,118320
Morgan County,Ohio,OH,118300
Wayne County,Missouri,MO,118270
Kinney County,Texas,TX,118250
Tazewell County,Virginia,VA,118220
Gove County,Kansas,KS,118140
Marion County,Kansas,KS,118140
Hockley County,Texas,TX,118010
Independence County,Arkansas,AR,117980
Walworth County,South Dakota,SD,117970
Cambria County,Pennsylvania,PA,117930
Crisp County,Georgia,GA,117700
Pratt County,Kansas,KS,117680
Cheyenne County,Nebraska,NE,117550
Marion County,Texas,TX,117540
Walthall County,Mississippi,MS,117500
Lincoln County,Mississippi,MS,117380
Fillmore County,Nebraska,NE,117320
Kleberg County,Texas,TX,117300
Bethel Census Area,Alaska,AK,117220
Franklin County,Arkansas,AR,117220
Reeves County,Texas,TX,117180
Summers County,West Virginia,WV,117170
Jackson County,South Dakota,SD,117150
Hettinger County,North Dakota,ND,117130
Bolivar County,Mississippi,MS,117040
Avoyelles Parish,Louisiana,LA,117010
Jefferson County,Nebraska,NE,116980
Colquitt County,Georgia,GA,116970
Choctaw County,Oklahoma,OK,116940
Morris County,Texas,TX,116940
Ford County,Illinois,IL,116910
Monroe County,Mississippi,MS,116810
Barton County,Missouri,MO,116750
Mercer County,West Virginia,WV,116720
Stephenson County,Illinois,IL,116710
Macoupin County,Illinois,IL,116620
Wayne County,West Virginia,WV,116610
Muhlenberg County,Kentucky,KY,116480
Crawford County,Iowa,IA,116470
Sheridan County,North Dakota,ND,116470
Carson County,Texas,TX,116450
Winston County,Mississippi,MS,116350
Morrill County,Nebraska,NE,116280
Calhoun County,West Virginia,WV,116270
Galax city,Virginia,VA,116240
Fayette County,Alabama,AL,116210
Lake County,Michigan,MI,116150
Harrison County,Ohio,OH,116130
LaSalle Parish,Louisiana,LA,116120
Cass County,Texas,TX,115980
Benton County,Tennessee,TN,115970
Coles County,Illinois,IL,115920
Jefferson County,Ohio,OH,115850
Bracken County,Kentucky,KY,115850
Washington County,Missouri,MO,115720
Wayne County,Kentucky,KY,115670
Charlton County,Georgia,GA,115640
Nemaha County,Nebraska,NE,115590
Marshall County,Kansas,KS,115520
Holt County,Missouri,MO,115460
Dodge County,Georgia,GA,115400
Wells County,North Dakota,ND,115260
Carroll County,Mississippi,MS,115210
Clay County,Mississippi,MS,115210
Griggs County,North Dakota,ND,115140
Cleveland County,Arkansas,AR,115140
Lawrence County,Mississippi,MS,114980
Harding County,South Dakota,SD,114920
Reynolds County,Missouri,MO,114880
Hart County,Kentucky,KY,114850
Clark County,Illinois,IL,114800
Jefferson County,Illinois,IL,114800
Sumner County,Kansas,KS,114730
Meigs County,Ohio,OH,114640
Hancock County,Iowa,IA,114630
Henry County,Virginia,VA,114610
Candler County,Georgia,GA,114550
Chautauqua County,New York,NY,114520
Doniphan County,Kansas,KS,114500
Seminole County,Georgia,GA,114430
Greene County,Iowa,IA,114290
Monona County,Iowa,IA,114290
Towner County,North Dakota,ND,114260
McCurtain County,Oklahoma,OK,114190
Venango County,Pennsylvania,PA,114160
Schuyler County,Illinois,IL,114120
Dixon County,Nebraska,NE,114110
Sherman County,Texas,TX,114060
Eddy County,North Dakota,ND,113930
Knox County,Nebraska,NE,113860
Itawamba County,Mississippi,MS,113830
Richmond County,North Carolina,NC,113740
Randolph County,Arkansas,AR,113730
Scurry County,Texas,TX,113590
St. Lawrence County,New York,NY,113490
Barton County,Kansas,KS,113470
Terrell County,Texas,TX,113470
Le Flore County,Oklahoma,OK,113470
Russell County,Virginia,VA,113450
Mississippi County,Arkansas,AR,113380
Coosa County,Alabama,AL,113260
Tattnall County,Georgia,GA,113220
Okmulgee County,Oklahoma,OK,113220
Crittenden County,Kentucky,KY,113220
Carroll County,Illinois,IL,113110
Montgomery County,Georgia,GA,113100
Lenoir County,North Carolina,NC,113000
Adams County,North Dakota,ND,112930
Pike County,Mississippi,MS,112910
Lynn County,Texas,TX,112870
Pembina County,North Dakota,ND,112820
Haskell County,Oklahoma,OK,112820
Miami County,Indiana,IN,112790
Jasper County,Illinois,IL,112770
Duplin County,North Carolina,NC,112750
Crawford County,Ohio,OH,112700
Prentiss County,Mississippi,MS,112690
Vinton County,Ohio,OH,112580
Nowata County,Oklahoma,OK,112480
Keokuk County,Iowa,IA,112450
Audrain County,Missouri,MO,112420
Crawford County,Kansas,KS,112340
Clare County,Michigan,MI,112250
Wetzel County,West Virginia,WV,112230
Van Buren County,Iowa,IA,112220
Livingston County,Kentucky,KY,112170
Ellsworth County,Kansas,KS,112110
Faribault County,Minnesota,MN,112090
Greeley County,Kansas,KS,111880
Hardin County,Iowa,IA,111870
Orangeburg County,South Carolina,SC,111850
Norton city,Virginia,VA,111820
Edgecombe County,North Carolina,NC,111810
Fleming County,Kentucky,KY,111580
Bailey County,Texas,TX,111550
Bee County,Texas,TX,111550
Martin County,North Carolina,NC,111520
Kay County,Oklahoma,OK,111450
Rawlins County,Kansas,KS,111420
Knox County,Kentucky,KY,111350
Elbert County,Georgia,GA,111290
Sevier County,Arkansas,AR,111020
Robertson County,Kentucky,KY,110880
Dewey County,Oklahoma,OK,110870
Page County,Iowa,IA,110720
Jay County,Indiana,IN,110710
Trinity County,Texas,TX,110710
Ripley County,Missouri,MO,110660
Ohio County,Kentucky,KY,110650
Cattaraugus County,New York,NY,110620
Halifax County,North Carolina,NC,110530
Scotland County,North Carolina,NC,110530
Butler County,Alabama,AL,110430
Beaver County,Oklahoma,OK,110410
Lewis County,Missouri,MO,110310
Hertford County,North Carolina,NC,110280
Faulk County,South Dakota,SD,110240
Worth County,Georgia,GA,110220
Hancock County,West Virginia,WV,110220
Wise County,Virginia,VA,110200
Cass County,Indiana,IN,110140
Crawford County,Indiana,IN,110140
Greenlee County,Arizona,AZ,110120
Edmonson County,Kentucky,KY,110040
Lucas County,Iowa,IA,110030
Lincoln County,Arkansas,AR,109870
Madison County,Florida,FL,109820
Deaf Smith County,Texas,TX,109760
Nelson County,North Dakota,ND,109730
Grundy County,Missouri,MO,109720
Hempstead County,Arkansas,AR,109610
Kent County,Texas,TX,109400
Ida County,Iowa,IA,109340
Caldwell County,Kentucky,KY,109250
Sullivan County,Indiana,IN,109230
Sabine Parish,Louisiana,LA,109150
Carroll County,Missouri,MO,109140
Iron County,Missouri,MO,109140
Walsh County,North Dakota,ND,109070
Robeson County,North Carolina,NC,109050
Butler County,Kentucky,KY,108900
Ritchie County,West Virginia,WV,108870
Marion County,Georgia,GA,108720
Terrell County,Georgia,GA,108710
Grant County,Nebraska,NE,108680
Franklin County,Iowa,IA,108420
Burke County,Georgia,GA,108380
Crawford County,Illinois,IL,108280
Jeff Davis County,Georgia,GA,108260
Bon Homme County,South Dakota,SD,108250
Ellis County,Oklahoma,OK,108240
Hooker County,Nebraska,NE,108220
Christian County,Illinois,IL,107940
Adair County,Oklahoma,OK,107890
Northampton County,North Carolina,NC,107820
Marion County,Mississippi,MS,107650
Tyler County,West Virginia,WV,107640
Jefferson County,Georgia,GA,107420
Mitchell County,Georgia,GA,107420
Fayette County,Illinois,IL,107380
Hamilton County,Florida,FL,107350
Sunflower County,Mississippi,MS,107300
Fayette County,West Virginia,WV,107300
Lawrence County,Kentucky,KY,107260
Barnwell County,South Carolina,SC,107160
Evangeline Parish,Louisiana,LA,107160
Kingman County,Kansas,KS,106990
Cotton County,Oklahoma,OK,106980
Okfuskee County,Oklahoma,OK,106980
Forest County,Pennsylvania,PA,106970
Gregory County,South Dakota,SD,106960
Linn County,Missouri,MO,106910
McMullen County,Texas,TX,106880
Schleicher County,Texas,TX,106880
Slope County,North Dakota,ND,106860
Ottawa County,Oklahoma,OK,106750
Bacon County,Georgia,GA,106690
Bent County,Colorado,CO,106570
Wirt County,West Virginia,WV,106570
Traverse County,Minnesota,MN,106350
Rockcastle County,Kentucky,KY,106210
Mitchell County,Kansas,KS,106190
Hidalgo County,New Mexico,NM,106190
Washington County,North Carolina,NC,106090
Ware County,Georgia,GA,106090
Adams County,Mississippi,MS,106040
Union County,Kentucky,KY,105860
Barbour County,Alabama,AL,105700
Marengo County,Alabama,AL,105700
Wayne County,Illinois,IL,105700
Appanoose County,Iowa,IA,105660
Taylor County,Georgia,GA,105600
Massac County,Illinois,IL,105590
Brooke County,West Virginia,WV,105370
Jim Hogg County,Texas,TX,105330
Clay County,Illinois,IL,105250
Hamilton County,Illinois,IL,105250
Marion County,Alabama,AL,105230
Union County,Arkansas,AR,105130
Nicholas County,West Virginia,WV,105060
Brown County,Kansas,KS,105050
Steele County,North Dakota,ND,104980
Holmes County,Florida,FL,104880
Greene County,North Carolina,NC,104870
Hancock County,Illinois,IL,104800
Emmet County,Iowa,IA,104740
Emmons County,North Dakota,ND,104650
Wright County,Iowa,IA,104620
Winkler County,Texas,TX,104610
Morris County,Kansas,KS,104600
Luce County,Michigan,MI,104570
Wheeler County,Nebraska,NE,104410
Dixie County,Florida,FL,104390
Shelby County,Texas,TX,104370
Cowley County,Kansas,KS,104370
Ballard County,Kentucky,KY,104350
Ben Hill County,Georgia,GA,104150
Hamilton County,Kansas,KS,104140
Hickory County,Missouri,MO,104100
Panola County,Mississippi,MS,103980
Union Parish,Louisiana,LA,103890
Latimer County,Oklahoma,OK,103890
Fulton County,Arkansas,AR,103830
Cheyenne County,Kansas,KS,103800
Bamberg County,South Carolina,SC,103680
Montgomery County,Illinois,IL,103680
Izard County,Arkansas,AR,103600
Menominee County,Wisconsin,WI,103510
McCulloch County,Texas,TX,103410
Colfax County,Nebraska,NE,103380
Castro County,Texas,TX,103290
Logan County,West Virginia,WV,103260
Boyd County,Nebraska,NE,103260
Irwin County,Georgia,GA,103180
Hutchinson County,Texas,TX,103170
Upton County,Texas,TX,103170
Wapello County,Iowa,IA,103120
Montgomery County,Mississippi,MS,103070
Vermillion County,Indiana,IN,102840
Scott County,Illinois,IL,102780
Jasper County,Mississippi,MS,102720
Lee County,South Carolina,SC,102720
Jackson Parish,Louisiana,LA,102620
Schuyler County,Missouri,MO,102580
Concho County,Texas,TX,102450
Taylor County,Iowa,IA,102430
Pike County,Arkansas,AR,102420
Washita County,Oklahoma,OK,102400
Hale County,Alabama,AL,102360
Atchison County,Missouri,MO,102350
Wheeler County,Texas,TX,102330
Calhoun County,Iowa,IA,102320
Bath County,Kentucky,KY,102250
Nicholas County,Kentucky,KY,102250
Adams County,Iowa,IA,102200
Little River County,Arkansas,AR,102180
Audubon County,Iowa,IA,102090
Pushmataha County,Oklahoma,OK,102050
Fulton County,Illinois,IL,101990
Runnels County,Texas,TX,101980
Terry County,Texas,TX,101980
Attala County,Mississippi,MS,101920
Fayette County,Indiana,IN,101840
Rock County,Nebraska,NE,101760
Montgomery County,Iowa,IA,101510
Crenshaw County,Alabama,AL,101330
Decatur County,Iowa,IA,101170
Webster County,Mississippi,MS,101120
Richland County,Illinois,IL,101090
Refugio County,Texas,TX,101020
Hancock County,Georgia,GA,101010
Dallas County,Alabama,AL,100860
Randolph County,Indiana,IN,100810
Johnston County,Oklahoma,OK,100680
Chesterfield County,South Carolina,SC,100680
Appling County,Georgia,GA,100640
Winn Parish,Louisiana,LA,100630
Pike County,Kentucky,KY,100610
Cross County,Arkansas,AR,100530
Lee County,Virginia,VA,100200
Dillon County,South Carolina,SC,100200
Caddo County,Oklahoma,OK,100110
McDonough County,Illinois,IL,99970
Desha County,Arkansas,AR,99940
Hickman County,Kentucky,KY,99910
Luna County,New Mexico,NM,99890
Coleman County,Texas,TX,99820
New Madrid County,Missouri,MO,99770
Hale County,Texas,TX,99580
Macon County,Alabama,AL,99560
Pike County,Illinois,IL,99520
Newton County,Mississippi,MS,99520
Hampton County,South Carolina,SC,99480
Braxton County,West Virginia,WV,99450
Harper County,Oklahoma,OK,99420
Nance County,Nebraska,NE,99340
La Salle County,Texas,TX,99340
Putnam County,Missouri,MO,99300
Iron County,Michigan,MI,99260
Bourbon County,Kansas,KS,99250
Washington County,Kansas,KS,99250
Hayes County,Nebraska,NE,99110
Dawson County,Texas,TX,99100
Stephens County,Texas,TX,99100
Zapata County,Texas,TX,99100
Antelope County,Nebraska,NE,99000
Eastland County,Texas,TX,98980
Henderson County,Illinois,IL,98960
Taylor County,Florida,FL,98960
Pemiscot County,Missouri,MO,98950
Neshoba County,Mississippi,MS,98940
Neosho County,Kansas,KS,98910
Menard County,Texas,TX,98860
Morehouse Parish,Louisiana,LA,98740
Amite County,Mississippi,MS,98710
Marion County,South Carolina,SC,98630
Green County,Kentucky,KY,98630
Coke County,Texas,TX,98620
Logan County,North Dakota,ND,98570
Deuel County,Nebraska,NE,98540
Keya Paha County,Nebraska,NE,98540
Wichita County,Kansas,KS,98340
Gray County,Texas,TX,98270
Warren County,Illinois,IL,98170
Wallace County,Kansas,KS,98110
Menifee County,Kentucky,KY,98040
Jefferson Davis County,Mississippi,MS,98030
Greene County,Mississippi,MS,97910
Alfalfa County,Oklahoma,OK,97820
Union County,South Carolina,SC,97790
Conecuh County,Alabama,AL,97790
Starr County,Texas,TX,97790
Brantley County,Georgia,GA,97750
Concordia Parish,Louisiana,LA,97750
Franklin County,Mississippi,MS,97680
Leflore County,Mississippi,MS,97680
Newton County,Texas,TX,97670
Cibola County,New Mexico,NM,97640
Blaine County,Nebraska,NE,97610
Clarke County,Mississippi,MS,97570
Glades County,Florida,FL,97480
Dooly County,Georgia,GA,97010
Estill County,Kentucky,KY,96990
Knox County,Illinois,IL,96940
Miner County,South Dakota,SD,96880
Scott County,Arkansas,AR,96880
Franklin Parish,Louisiana,LA,96860
Mercer County,Missouri,MO,96840
Mason County,Illinois,IL,96820
Mississippi County,Missouri,MO,96730
McKean County,Pennsylvania,PA,96680
Leake County,Mississippi,MS,96650
Harrison County,Missouri,MO,96610
Pocahontas County,Iowa,IA,96560
Simpson County,Mississippi,MS,96550
Wilkes County,Georgia,GA,96530
Catahoula Parish,Louisiana,LA,96420
Perry County,Illinois,IL,96370
Bertie County,North Carolina,NC,96340
West Carroll Parish,Louisiana,LA,96310
Falls County,Texas,TX,96230
Wayne County,Iowa,IA,96100
Yalobusha County,Mississippi,MS,96080
Dunklin County,Missouri,MO,96020
Clay County,West Virginia,WV,96010
Webster Parish,Louisiana,LA,95980
Choctaw County,Mississippi,MS,95970
Randolph County,Georgia,GA,95920
Sheridan County,Nebraska,NE,95890
Pawnee County,Kansas,KS,95720
Metcalfe County,Kentucky,KY,95360
Dickenson County,Virginia,VA,95320
Edwards County,Illinois,IL,95250
Allen County,Kansas,KS,95150
Phillips County,Kansas,KS,95040
Stark County,Illinois,IL,94980
Cherokee County,Kansas,KS,94810
Greene County,Illinois,IL,94580
Carlisle County,Kentucky,KY,94540
Prairie County,Arkansas,AR,94520
Benton County,Mississippi,MS,94480
Garza County,Texas,TX,94440
Sterling County,Texas,TX,94440
Choctaw County,Alabama,AL,94250
Norton County,Kansas,KS,94240
Copiah County,Mississippi,MS,94220
Marion County,Illinois,IL,94020
Wilson County,Kansas,KS,94010
Edgar County,Illinois,IL,93900
Lincoln County,Kansas,KS,93900
Jackson County,Kentucky,KY,93840
McCreary County,Kentucky,KY,93720
Nolan County,Texas,TX,93720
Swisher County,Texas,TX,93720
Cass County,Illinois,IL,93680
Jones County,South Dakota,SD,93600
Wabash County,Illinois,IL,93570
Stafford County,Kansas,KS,93560
Jim Wells County,Texas,TX,93360
White County,Illinois,IL,93340
Cloud County,Kansas,KS,93330
St. Helena Parish,Louisiana,LA,93320
Emanuel County,Georgia,GA,93260
Tensas Parish,Louisiana,LA,93210
Wilkinson County,Georgia,GA,93140
Caldwell Parish,Louisiana,LA,93100
Blackford County,Indiana,IN,93090
Mingo County,West Virginia,WV,93060
Webster County,Nebraska,NE,93000
Knox County,Missouri,MO,92980
Montgomery County,Kansas,KS,92870
Ouachita County,Arkansas,AR,92870
Poinsett County,Arkansas,AR,92790
Turner County,Georgia,GA,92780
Franklin County,Nebraska,NE,92770
Sullivan County,Missouri,MO,92740
Allegany County,New York,NY,92740
Jenkins County,Georgia,GA,92660
Bradley County,Arkansas,AR,92640
Coal County,Oklahoma,OK,92430
Johnson County,Georgia,GA,92420
Floyd County,Kentucky,KY,92320
Sioux County,North Dakota,ND,92270
Washington County,Mississippi,MS,92190
Ashley County,Arkansas,AR,92050
Dallas County,Arkansas,AR,92050
Gilmer County,West Virginia,WV,91940
Williamsburg County,South Carolina,SC,91910
Harmon County,Oklahoma,OK,91860
Treutlen County,Georgia,GA,91810
Brown County,Nebraska,NE,91740
Graham County,Kansas,KS,91730
Greene County,Alabama,AL,91640
Lawrence County,Illinois,IL,91540
Ziebach County,South Dakota,SD,91380
Garden County,Nebraska,NE,91280
Clinton County,Kentucky,KY,91270
Wilbarger County,Texas,TX,91200
Greer County,Oklahoma,OK,91170
Labette County,Kansas,KS,91170
Rice County,Kansas,KS,91170
Kimball County,Nebraska,NE,91050
Wayne County,Mississippi,MS,91040
Saline County,Illinois,IL,90980
Rolette County,North Dakota,ND,90940
Magoffin County,Kentucky,KY,90920
Madison Parish,Louisiana,LA,90880
Floyd County,Texas,TX,90840
Lincoln County,West Virginia,WV,90760
Sharp County,Arkansas,AR,90750
Cameron County,Pennsylvania,PA,90740
Thayer County,Nebraska,NE,90700
Ontonagon County,Michigan,MI,90630
McIntosh County,North Dakota,ND,90610
Nuckolls County,Nebraska,NE,90580
Woodruff County,Arkansas,AR,90510
Perry County,Kentucky,KY,90460
Morton County,Kansas,KS,90370
Lewis County,Kentucky,KY,90340
Gogebic County,Michigan,MI,90270
Thurston County,Nebraska,NE,90240
Martinsville city,Virginia,VA,90200
Duval County,Texas,TX,90010
Calhoun County,Arkansas,AR,89450
Lawrence County,Arkansas,AR,89450
Kemper County,Mississippi,MS,89440
Benson County,North Dakota,ND,89400
Clay County,Arkansas,AR,89340
Lowndes County,Alabama,AL,89160
Morgan County,Kentucky,KY,89060
Franklin County,Illinois,IL,88960
Vermilion County,Illinois,IL,88800
Jackson County,Arkansas,AR,88750
Lee County,Arkansas,AR,88750
Echols County,Georgia,GA,88730
Jones County,Texas,TX,88730
Yukon-Koyukuk Census Area,Alaska,AK,88690
Chattooga County,Georgia,GA,88670
Hughes County,Oklahoma,OK,88650
Greeley County,Nebraska,NE,88630
Scott County,Mississippi,MS,88520
Elliott County,Kentucky,KY,88470
Baylor County,Texas,TX,88450
Seminole County,Oklahoma,OK,88420
Issaquena County,Mississippi,MS,88410
Webster County,Georgia,GA,88300
Harding County,New Mexico,NM,88300
Covington County,Mississippi,MS,88290
Twiggs County,Georgia,GA,88220
Furnas County,Nebraska,NE,87930
Monroe County,Arkansas,AR,87920
Perry County,Alabama,AL,87870
Boone County,West Virginia,WV,87690
Rooks County,Kansas,KS,87520
Richardson County,Nebraska,NE,87470
Hodgeman County,Kansas,KS,87410
Red River Parish,Louisiana,LA,87340
Hardin County,Illinois,IL,87280
Phillips County,Arkansas,AR,86510
Barber County,Kansas,KS,86500
Clinch County,Georgia,GA,86490
Hitchcock County,Nebraska,NE,86440
San Augustine County,Texas,TX,86420
Briscoe County,Texas,TX,86300
Presidio County,Texas,TX,86300
Lee County,Kentucky,KY,86250
Webster County,Kentucky,KY,86160
Gallatin County,Illinois,IL,86040
Wilcox County,Alabama,AL,85980
Shelby County,Missouri,MO,85950
Grant County,Oklahoma,OK,85790
Bullock County,Alabama,AL,85740
Coahoma County,Mississippi,MS,85660
Grant County,North Dakota,ND,85420
Crowley County,Colorado,CO,85350
Warren County,Georgia,GA,85280
Clark County,Kansas,KS,85250
Webster County,West Virginia,WV,85100
Chickasaw County,Mississippi,MS,84740
Wyoming County,West Virginia,WV,84650
Lane County,Kansas,KS,84560
Sharkey County,Mississippi,MS,84510
Campbell County,South Dakota,SD,84230
Edwards County,Texas,TX,84140
Brooks County,Texas,TX,83900
Nevada County,Arkansas,AR,83800
Telfair County,Georgia,GA,83590
Chicot County,Arkansas,AR,83560
Buchanan County,Virginia,VA,83460
Noxubee County,Mississippi,MS,82910
Leslie County,Kentucky,KY,82640
Sumter County,Alabama,AL,82440
Woodson County,Kansas,KS,82400
Mitchell County,Texas,TX,82350
East Carroll Parish,Louisiana,LA,82250
Claiborne County,Mississippi,MS,81990
Humphreys County,Mississippi,MS,81880
Wheeler County,Georgia,GA,81770
Harper County,Kansas,KS,81610
Macon County,Georgia,GA,81530
Calhoun County,Mississippi,MS,81420
Rush County,Kansas,KS,81260
Owsley County,Kentucky,KY,81240
Quay County,New Mexico,NM,81220
Claiborne Parish,Louisiana,LA,81140
Covington city,Virginia,VA,81140
Apache County,Arizona,AZ,80980
Donley County,Texas,TX,80310
Fisher County,Texas,TX,80310
St. Francis County,Arkansas,AR,80260
McPherson County,South Dakota,SD,80130
Bienville Parish,Louisiana,LA,80040
Pawnee County,Nebraska,NE,79870
Culberson County,Texas,TX,79830
Worth County,Missouri,MO,79750
Ness County,Kansas,KS,79670
Tallahatchie County,Mississippi,MS,79590
Marlboro County,South Carolina,SC,79410
Wilkinson County,Mississippi,MS,79250
Lamb County,Texas,TX,79230
Bell County,Kentucky,KY,79140
Taliaferro County,Georgia,GA,78990
Martin County,Kentucky,KY,78900
Clay County,Kentucky,KY,78780
Smith County,Kansas,KS,78190
Collingsworth County,Texas,TX,78160
Fulton County,Kentucky,KY,77970
Greenwood County,Kansas,KS,76940
Wilcox County,Georgia,GA,76690
Dewey County,South Dakota,SD,76150
Harlan County,Kentucky,KY,75870
Zavala County,Texas,TX,75760
Kiowa County,Oklahoma,OK,75590
Atkinson County,Georgia,GA,75480
Decatur County,Kansas,KS,75230
Throckmorton County,Texas,TX,75170
Esmeralda County,Nevada,NV,75030
Hall County,Texas,TX,74810
Stanton County,Kansas,KS,74320
Jefferson County,Mississippi,MS,74210
Willacy County,Texas,TX,74210
Cimarron County,Oklahoma,OK,73990
Comanche County,Kansas,KS,73980
Clay County,Georgia,GA,73670
Pulaski County,Illinois,IL,73570
Osborne County,Kansas,KS,73520
Jefferson County,Oklahoma,OK,72270
Quitman County,Georgia,GA,72090
Lafayette County,Arkansas,AR,71660
Letcher County,Kentucky,KY,71550
Haskell County,Texas,TX,71450
Crosby County,Texas,TX,71400
Edwards County,Kansas,KS,71130
Dickens County,Texas,TX,71100
Wolfe County,Kentucky,KY,71080
Republic County,Kansas,KS,71020
Motley County,Texas,TX,70620
Calhoun County,Georgia,GA,69920
Holmes County,Mississippi,MS,69630
Dimmit County,Texas,TX,69060
Hardeman County,Texas,TX,69060
Jewell County,Kansas,KS,68400
Alexander County,Illinois,IL,68290
Corson County,South Dakota,SD,67600
Knott County,Kentucky,KY,67580
McKinley County,New Mexico,NM,67040
Stonewall County,Texas,TX,66190
Elk County,Kansas,KS,65330
Allendale County,South Carolina,SC,64640
Quitman County,Mississippi,MS,64470
Hudspeth County,Texas,TX,63200
Foard County,Texas,TX,63080
Chautauqua County,Kansas,KS,63050
Cottle County,Texas,TX,62240
Breathitt County,Kentucky,KY,61510
Tillman County,Oklahoma,OK,61160
Stewart County,Georgia,GA,58550
Knox County,Texas,TX,56250
Cochran County,Texas,TX,53380
McDowell County,West Virginia,WV,49000
Todd County,South Dakota,SD,33620
King County,Texas,TX,27050
