County,State,State Abbrv,Median Home Price Q3 2022
Beaverhead County,Montana,MT,299560
Custer County,South Dakota,SD,299320
Belknap County,New Hampshire,NH,299290
Burleigh County,North Dakota,ND,299120
Blount County,Tennessee,TN,299030
Bernalillo County,New Mexico,NM,298750
Crook County,Wyoming,WY,298700
Granite County,Montana,MT,298590
Mohave County,Arizona,AZ,298510
Plumas County,California,CA,298470
Douglas County,Georgia,GA,298400
Johnson County,Wyoming,WY,298110
Box Elder County,Utah,UT,298080
Madison County,Mississippi,MS,298060
Greene County,Virginia,VA,297850
Brazoria County,Texas,TX,297540
Alachua County,Florida,FL,296920
Fairfield County,Ohio,OH,296720
Loudon County,Tennessee,TN,296290
Roanoke County,Virginia,VA,295790
Chatham County,Georgia,GA,295560
Adams County,Idaho,ID,295360
Iron County,Utah,UT,295220
Llano County,Texas,TX,295150
Sevier County,Tennessee,TN,295080
Sandoval County,New Mexico,NM,295010
Lehigh County,Pennsylvania,PA,294750
Washington County,Arkansas,AR,294650
Wasco County,Oregon,OR,294390
Minnehaha County,South Dakota,SD,294360
Towns County,Georgia,GA,293940
Haines Borough,Alaska,AK,293680
Sarpy County,Nebraska,NE,293200
Douglas County,Oregon,OR,293120
Hampden County,Massachusetts,MA,293040
Centre County,Pennsylvania,PA,293020
Sweet Grass County,Montana,MT,292940
Lexington city,Virginia,VA,292340
Montezuma County,Colorado,CO,291910
Tompkins County,New York,NY,291730
Lancaster County,Pennsylvania,PA,291610
Washington County,Vermont,VT,291530
Glenn County,California,CA,291470
Gloucester County,New Jersey,NJ,291460
Guadalupe County,Texas,TX,291380
Clarke County,Georgia,GA,291100
Storey County,Nevada,NV,291090
Morgan County,Georgia,GA,290680
McHenry County,Illinois,IL,290650
Lamoille County,Vermont,VT,290450
Yakima County,Washington,WA,290350
Imperial County,California,CA,290280
Whitman County,Washington,WA,290010
Porter County,Indiana,IN,289970
Walworth County,Wisconsin,WI,289550
St. Tammany Parish,Louisiana,LA,289470
Pueblo County,Colorado,CO,289340
Cheshire County,New Hampshire,NH,289140
Leon County,Florida,FL,288960
Crow Wing County,Minnesota,MN,288650
Albany County,Wyoming,WY,288310
Bastrop County,Texas,TX,288310
Franklin County,Ohio,OH,288080
Chisago County,Minnesota,MN,288020
Fairbanks North Star Borough,Alaska,AK,287720
Horry County,South Carolina,SC,287660
Kent County,Michigan,MI,287520
Morgan County,Colorado,CO,287470
Columbia County,New York,NY,287280
Douglas County,Minnesota,MN,287270
Warren County,Virginia,VA,287080
Barrow County,Georgia,GA,286860
Kane County,Utah,UT,286770
Jackson County,Colorado,CO,286630
Glynn County,Georgia,GA,285650
Klamath County,Oregon,OR,285460
Kenai Peninsula Borough,Alaska,AK,285430
Door County,Wisconsin,WI,285420
Botetourt County,Virginia,VA,284870
Richland County,Montana,MT,284760
Jefferson County,Wisconsin,WI,284590
Hernando County,Florida,FL,284080
Leavenworth County,Kansas,KS,283830
Mason County,Texas,TX,283190
Fayette County,Kentucky,KY,283180
Rockdale County,Georgia,GA,283170
Jefferson County,Idaho,ID,283000
Union County,Ohio,OH,282940
Effingham County,Georgia,GA,282940
Albany County,New York,NY,282520
Norfolk city,Virginia,VA,282500
Nelson County,Virginia,VA,282450
Franklin County,North Carolina,NC,281970
Washington County,Maryland,MD,281920
Montgomery County,Tennessee,TN,281870
Lincoln County,Maine,ME,281430
Chambers County,Texas,TX,281360
Waller County,Texas,TX,281360
Polk County,North Carolina,NC,281260
Cass County,Missouri,MO,280600
Lancaster County,Virginia,VA,280600
Butler County,Pennsylvania,PA,279340
Camden County,North Carolina,NC,279280
Medina County,Ohio,OH,279150
Cass County,North Dakota,ND,279090
Washington County,Tennessee,TN,278800
Hancock County,Indiana,IN,278750
Umatilla County,Oregon,OR,278730
Asotin County,Washington,WA,278660
Franklin County,Idaho,ID,278550
Stevens County,Washington,WA,278530
Lawrence County,South Dakota,SD,277880
Sagadahoc County,Maine,ME,277700
Grayson County,Texas,TX,277330
Louisa County,Virginia,VA,277290
Johnson County,Texas,TX,277280
Fluvanna County,Virginia,VA,276540
Wilson County,Texas,TX,276320
Coos County,Oregon,OR,276290
Franklin County,Vermont,VT,275920
Hancock County,Maine,ME,275880
Moore County,Tennessee,TN,275830
Christian County,Missouri,MO,275620
St. Louis County,Missouri,MO,275480
Wahkiakum County,Washington,WA,275100
Burnet County,Texas,TX,274810
Fayette County,Tennessee,TN,274560
Le Sueur County,Minnesota,MN,274540
Spencer County,Kentucky,KY,274220
Bartow County,Georgia,GA,274080
DeSoto County,Mississippi,MS,273740
Clay County,Missouri,MO,273470
Gloucester County,Virginia,VA,273250
Adams County,Pennsylvania,PA,273010
Brown County,Wisconsin,WI,272820
Catoosa County,Georgia,GA,272730
Cheatham County,Tennessee,TN,272720
Johnson County,Indiana,IN,271550
Kenosha County,Wisconsin,WI,271250
Monroe County,Indiana,IN,270910
Monongalia County,West Virginia,WV,270750
Knox County,Maine,ME,270700
Harris County,Texas,TX,270650
Rich County,Utah,UT,270470
Pickens County,Georgia,GA,270390
Limestone County,Alabama,AL,270280
Putnam County,Tennessee,TN,269920
Eau Claire County,Wisconsin,WI,269800
Cascade County,Montana,MT,269770
Cumberland County,Pennsylvania,PA,269700
Windsor County,Vermont,VT,269600
Douglas County,Kansas,KS,269290
Clay County,Minnesota,MN,269010
Somervell County,Texas,TX,268940
Campbell County,Wyoming,WY,268830
Nez Perce County,Idaho,ID,268700
Boone County,Kentucky,KY,268690
Harris County,Georgia,GA,268640
Warren County,Kentucky,KY,268430
Elko County,Nevada,NV,268350
Bristol Bay Borough,Alaska,AK,268130
Natrona County,Wyoming,WY,267950
Polk County,Florida,FL,267940
Lancaster County,Nebraska,NE,267870
Prince George County,Virginia,VA,267680
Custer County,Idaho,ID,266890
Windham County,Connecticut,CT,266580
Williams County,North Dakota,ND,265980
Pierce County,Wisconsin,WI,265320
Converse County,Wyoming,WY,265090
Bradley County,Tennessee,TN,265030
Clinton County,Michigan,MI,264830
